seq,exp,valence,arousal,dominance,liking,familiarity,participantID
16,30,2.7,7.6,7.6,6.5,3,09-9UDP
17,11,8.6,7,7.3,7.8,3,09-9UDP
18,27,7.3,7.5,6.6,7.1,4,09-9UDP
19,17,5.2,4.6,4.6,4.9,2,09-9UDP
1,19,6.9,5.5,5.7,6.7,5,10-9UHM
2,9,7.7,6.1,5.6,9,5,10-9UHM
3,6,6.7,5.7,5.6,6.9,1,10-9UHM
4,21,5.5,4.4,5.5,5.2,1,10-9UHM
5,13,6,4.5,5.8,5.5,2,10-9UHM
6,5,6.2,5.5,5.6,6.6,5,10-9UHM
7,31,5.7,5.5,5.3,5.4,1,10-9UHM
8,25,6,4.2,5.8,5.5,1,10-9UHM
9,12,6.1,4.6,5.3,4.6,1,10-9UHM
10,8,6,4.9,5.4,6.8,5,10-9UHM
11,7,5.8,5.1,5.4,5.7,5,10-9UHM
12,10,5.7,5.6,5,7.4,1,10-9UHM
13,36,5.8,5.5,5.9,7.2,3,10-9UHM
14,37,5.4,6.7,4.5,6.4,1,10-9UHM
15,38,5.6,5.4,5.7,5.7,1,10-9UHM
16,2,5.6,4.4,5.5,4.8,1,10-9UHM
17,27,5.5,4.9,5.5,4.6,2,10-9UHM
18,1,5.4,6.2,4.3,4.6,5,10-9UHM
19,29,6.5,6.4,4.4,8.8,5,10-9UHM
20,4,7.1,6.7,5.4,7.1,5,10-9UHM
21,18,7.4,3.9,4.8,9,5,10-9UHM
22,11,6.3,5.7,5.4,6.6,3,10-9UHM
23,14,7,5.7,5.6,7.7,5,10-9UHM
24,40,5.3,6.4,4.6,4.5,3,10-9UHM
25,23,4.1,4.2,4.3,3.9,2,10-9UHM
26,28,4.6,4,5.7,5.5,1,10-9UHM
27,22,4.3,5.1,4.8,6.1,4,10-9UHM
28,17,6,4.2,5.6,6.1,1,10-9UHM
29,32,5.7,6.3,4.3,6.2,2,10-9UHM
30,26,5.4,3.6,4.6,6.4,2,10-9UHM
31,20,6.9,5.9,4.5,7.3,5,10-9UHM
32,15,7.3,4.4,4.5,7.6,1,10-9UHM
33,34,5.8,7.1,4.1,6.6,3,10-9UHM
34,24,3.9,5.4,5.5,6.2,5,10-9UHM
35,33,6.1,7,4,6.5,4,10-9UHM
36,30,2.5,5.8,3.7,2.6,3,10-9UHM
37,39,3.8,6.9,4.2,4.2,2,10-9UHM
38,3,7,6.5,4.1,7.4,5,10-9UHM
1,14,6.9,5,6.5,8.7,5,11-9UIZ
2,6,7.9,6.6,7.3,8,4,11-9UIZ
3,12,7.7,1.8,4.1,8.8,1,11-9UIZ
4,19,6.7,5,6.7,6.5,5,11-9UIZ
5,13,6.7,2.8,7.2,7.4,2,11-9UIZ
6,38,6.3,6.8,6.5,5,3,11-9UIZ
7,1,7.7,7.3,6.3,7.4,5,11-9UIZ
8,11,9,5,7.1,8.8,1,11-9UIZ
9,5,8.6,6.4,8.2,8.8,5,11-9UIZ
10,8,8.2,5,7.2,8.1,5,11-9UIZ
11,21,3,3.2,6.8,7,3,11-9UIZ
12,33,6.1,6.2,8,6.5,4,11-9UIZ
13,4,9,6.4,6.8,7.6,5,11-9UIZ
14,29,3.9,6.8,4.3,8.4,5,11-9UIZ
15,22,3.8,3.6,5.4,2.9,1,11-9UIZ
16,9,8.1,6.3,6.5,9,5,11-9UIZ
17,26,3.7,3.8,6.9,5.2,1,11-9UIZ
18,32,5,5.9,5,5,2,11-9UIZ
19,28,3.5,5,5.6,6.6,1,11-9UIZ
20,30,2.2,6.3,4,5,5,11-9UIZ
21,2,6.4,6.4,6.6,6.9,5,11-9UIZ
22,40,5.9,7.1,7.1,6.7,3,11-9UIZ
23,3,6.9,4.8,5.7,6.7,5,11-9UIZ
24,39,5,6.8,6.9,3.8,2,11-9UIZ
25,24,3.3,3.7,6.9,6,5,11-9UIZ
26,37,3.1,7,3.7,1,1,11-9UIZ
27,31,5,5,8.5,4.1,1,11-9UIZ
28,20,6.5,5,6.6,3.5,1,11-9UIZ
29,23,5,5,5,5,1,11-9UIZ
30,15,9,5,6.6,7.1,1,11-9UIZ
31,25,6.9,3.1,6.9,7.1,1,11-9UIZ
32,7,7,6.5,5.5,7.2,5,11-9UIZ
33,34,4.4,6.3,6.9,2.4,2,11-9UIZ
34,17,3,4.9,5,5,4,11-9UIZ
35,10,5,7.2,7,6.2,3,11-9UIZ
36,36,3.4,6.9,6.5,5,1,11-9UIZ
37,27,7.2,6.1,6.6,6.8,1,11-9UIZ
38,18,9,6.8,7.9,9,5,11-9UIZ
1,8,2,3.9,9,1,5,12-9UN3
2,36,6.1,4.3,9,5.8,1,12-9UN3
3,19,7.6,2,7,7.2,5,12-9UN3
4,29,5.9,1.5,7.3,7.6,5,12-9UN3
5,14,4,4.5,9,3.4,5,12-9UN3
6,7,9,6.9,9,9,5,12-9UN3
7,34,5.3,3.9,7.6,5.7,1,12-9UN3
8,6,6.8,4.1,9,7,4,12-9UN3
9,24,1,2.6,4.7,6.5,5,12-9UN3
10,18,6.3,2.2,6.5,6.2,5,12-9UN3
11,37,7.1,6,9,6.3,1,12-9UN3
12,13,6,3,9,5.8,2,12-9UN3
13,5,5.8,2.4,8.1,5.7,5,12-9UN3
14,30,7,3.2,7.1,9,2,12-9UN3
15,3,6.3,3.7,9,5.9,5,12-9UN3
16,32,5.9,3.6,7.5,6.7,4,12-9UN3
17,33,4.5,3.3,9,4.8,1,12-9UN3
18,40,5.9,3.6,7.5,6.6,1,12-9UN3
19,26,5,3,9,5.4,2,12-9UN3
20,21,3.4,5.6,9,2.6,1,12-9UN3
21,27,6,3.1,7.2,6.3,1,12-9UN3
22,22,3.6,2.7,9,4.7,1,12-9UN3
23,1,2.2,6.7,9,2.5,5,12-9UN3
24,12,5.8,1,7.3,5.5,1,12-9UN3
25,25,6.1,3,6.1,6.7,1,12-9UN3
26,10,6.7,3.2,6.8,7.5,2,12-9UN3
27,2,9,7,5.3,9,5,12-9UN3
28,23,4.5,3,9,5.7,1,12-9UN3
29,39,5.4,4.3,7.1,6.5,1,12-9UN3
30,38,5.5,4.3,7.1,6.5,1,12-9UN3
31,9,4,2.3,8.9,4.4,5,12-9UN3
32,11,6.2,2.3,7.2,5.8,4,12-9UN3
33,17,6.1,3.1,7.1,6.2,5,12-9UN3
34,20,6.5,2.9,5.9,6.6,5,12-9UN3
35,28,4.2,2.3,8,4,1,12-9UN3
36,15,4.5,3,9,3.2,1,12-9UN3
37,31,4,4,9,3.1,1,12-9UN3
38,4,5,3.4,9,5.8,5,12-9UN3
1,12,5.9,3.1,5.9,5.7,1,13-9UOF
2,15,4.3,3.4,5.9,4.3,1,13-9UOF
3,19,7.7,6.7,6.1,6.9,4,13-9UOF
4,10,6.3,7.2,6.6,5.8,1,13-9UOF
5,32,4.4,4,5.5,3,1,13-9UOF
6,18,6.9,5.9,6.1,8.2,3,13-9UOF
7,23,4.6,4.5,5.6,6.2,1,13-9UOF
8,13,5,4.3,4.1,3.3,1,13-9UOF
9,6,5.8,4.5,3.8,5.5,1,13-9UOF
10,37,5.5,7,5.5,3.9,1,13-9UOF
11,40,5,5.9,4.3,5.5,1,13-9UOF
12,39,4,5.8,5.7,4.1,1,13-9UOF
13,29,5.5,5.8,4.2,4.6,1,13-9UOF
14,2,6.2,6.2,5.4,6.4,5,13-9UOF
15,30,6.1,6.6,6.4,7.2,4,13-9UOF
16,36,3.3,5.8,4.2,4.1,1,13-9UOF
