participantID,seq,exp,nSamples,medianVal,maxVal
08-9UB2,19,38,1905,185.662703491747,337.657043076755
08-9UB2,20,34,1905,137.141183603119,254.422178203663
08-9UB2,21,27,1904,158.770050960144,306.95591507874
08-9UB2,22,4,1905,156.36897543562,275.639860023758
08-9UB2,23,33,1907,180.427508822215,294.672950690393
08-9UB2,24,40,1906,161.814492182581,273.068675060533
08-9UB2,25,11,1907,158.063156235908,290.563355089059
08-9UB2,26,8,1905,168.270921662315,281.500946022683
08-9UB2,27,20,1905,163.215981078308,290.9868059007
08-9UB2,28,2,1905,169.278726789762,278.275462421331
08-9UB2,29,18,1905,167.233558683164,281.07940646101
08-9UB2,30,19,1905,163.055816387202,278.368727871855
08-9UB2,31,32,1907,163.859590558548,289.146783043731
08-9UB2,32,24,1906,167.162052818202,265.634967404622
08-9UB2,33,1,1906,178.563383080868,290.216186133936
08-9UB2,34,5,1904,175.576454522316,295.492634733802
08-9UB2,35,29,1904,160.492369565415,272.466382786503
08-9UB2,36,13,1905,181.849234384046,300.188599912987
08-9UB2,37,17,1904,170.995934615471,269.780363817599
08-9UB2,38,9,1907,161.21784544654,262.459157314609
09-9UDP,1,26,1906,170.820740874922,277.704962956847
09-9UDP,2,3,1905,198.588686431594,305.653888586537
09-9UDP,3,20,1907,209.705342212694,279.345319996342
09-9UDP,4,25,1904,225.014163605928,305.062748894426
09-9UDP,5,7,1903,220.739252321098,286.052318298253
09-9UDP,6,4,1904,208.932449242402,277.93199244391
09-9UDP,7,10,1906,196.025836296351,271.184326783486
09-9UDP,8,21,1905,201.561055165874,261.884199685466
09-9UDP,9,36,1905,221.249787626342,286.952977962389
09-9UDP,10,9,1905,214.357472595987,269.989389062363
09-9UDP,11,15,1904,190.13987891694,258.714274890236
09-9UDP,12,29,1905,207.170397024925,288.026178337382
09-9UDP,13,24,1905,192.855521313876,272.344552190318
09-9UDP,14,13,1903,190.208576596506,253.84090215482
09-9UDP,15,2,1904,166.657603572079,231.340065675765
09-9UDP,16,30,1905,198.986442365987,280.30998063602
09-9UDP,17,11,1905,184.677420702991,275.419828657365
09-9UDP,18,27,1905,201.672298348312,297.982288916658
09-9UDP,19,17,1904,206.82980345812,269.100069117158
10-9UHM,1,19,1906,225.498005237623,366.188119039981
10-9UHM,2,9,1904,264.327207582788,391.698282275427
10-9UHM,3,6,1906,249.861701600337,345.31037235627
10-9UHM,4,21,1904,249.345598324731,360.727059260254
10-9UHM,5,13,1904,243.360979787543,326.317021720501
10-9UHM,6,5,1906,247.798419019357,465.503131343392
10-9UHM,7,31,1905,233.134803986784,388.173896428576
10-9UHM,8,25,1905,223.613225718968,376.203790812961
10-9UHM,9,12,1905,231.956870729714,340.505970415561
10-9UHM,10,8,1905,241.745013054547,332.811947253776
10-9UHM,11,7,1906,237.832476249295,368.882931825693
10-9UHM,12,10,1904,223.04315351993,323.49535066253
10-9UHM,13,36,1903,264.329684975955,409.147577531184
10-9UHM,14,37,1905,237.785559450484,355.819506928111
10-9UHM,15,38,1905,241.433513478051,351.235097499888
10-9UHM,16,2,1906,245.497696562958,376.539861460821
10-9UHM,17,27,1903,258.375205450446,379.060655279299
10-9UHM,18,1,1904,239.673131053285,339.413381615958
10-9UHM,19,29,1904,224.667964727221,347.556756143658
10-9UHM,20,4,1907,256.082968731816,445.619778397115
10-9UHM,21,18,1906,232.199822441094,421.893101951174
10-9UHM,22,11,1904,246.406866830341,375.376552969797
10-9UHM,23,14,1904,250.375152747726,325.419127990498
10-9UHM,24,40,1905,232.126143479018,323.696244616089
10-9UHM,25,23,1904,248.144141986538,323.446427645866
10-9UHM,26,28,1907,259.811003542546,338.731938022237
10-9UHM,27,22,1905,252.951743794863,318.782182844772
10-9UHM,28,17,1906,242.056338976405,397.241290255849
10-9UHM,29,32,1905,258.005906482903,395.171791801264
10-9UHM,30,26,1904,249.035722267566,373.883186550517
10-9UHM,31,20,1905,275.261049002133,369.037062770503
10-9UHM,32,15,1905,266.006086826233,422.678863954646
10-9UHM,33,34,1907,258.525199444611,438.372197126328
10-9UHM,34,24,1906,244.182836945044,349.595812032094
10-9UHM,35,33,1905,274.376989981753,506.727375123421
10-9UHM,36,30,1905,276.175464947915,391.870313908011
10-9UHM,37,39,1905,279.324329835013,400.235458209756
10-9UHM,38,3,1906,266.717858680488,432.713051922001
11-9UIZ,1,14,1905,216.435246633101,362.558174847375
11-9UIZ,2,6,1903,226.032296603791,357.366061375483
11-9UIZ,3,12,1904,217.182089980797,348.144579882948
11-9UIZ,4,19,1906,253.103600144501,360.923948051919
11-9UIZ,5,13,1905,256.264960836163,361.259421205318
11-9UIZ,6,38,1905,238.006180859068,426.549799486195
11-9UIZ,7,1,1906,271.663944710255,399.811248832482
11-9UIZ,8,11,1905,246.516233200189,363.448424793582
11-9UIZ,9,5,1907,165.286754345755,329.81391853705
11-9UIZ,10,8,1905,239.704481267267,346.373021271458
11-9UIZ,11,21,1907,258.883862962423,384.105669003124
11-9UIZ,12,33,1903,244.799847068684,368.993715128606
11-9UIZ,13,4,1904,251.418484877926,360.500377889353
11-9UIZ,14,29,1905,272.163481886435,429.441436852399
11-9UIZ,15,22,1905,276.481176702637,377.55547575043
11-9UIZ,16,9,1904,270.149155645789,394.644499726457
11-9UIZ,17,26,1904,281.115650831608,426.776878951314
11-9UIZ,18,32,1905,257.605806023817,349.276680204313
11-9UIZ,19,28,1905,265.156651924695,386.797507432355
11-9UIZ,20,30,1905,256.40975109022,380.001679286092
11-9UIZ,21,2,1905,263.024417717451,387.710797858194
11-9UIZ,22,40,1905,282.413702159564,440.185774586392
11-9UIZ,23,3,1906,245.806733881885,394.224093200272
11-9UIZ,24,39,1906,314.661517947241,489.076903868721
11-9UIZ,25,24,1904,290.035477821617,422.326402235981
11-9UIZ,26,37,1904,286.465247692083,416.66149499123
11-9UIZ,27,31,1906,282.809501268195,424.92000645863
11-9UIZ,28,20,1907,263.25524198424,446.378695646382
11-9UIZ,29,23,1905,291.398701931272,411.443059283533
11-9UIZ,30,15,1906,280.407339918969,449.019987550648
11-9UIZ,31,25,1904,280.347242882591,464.784261215321
11-9UIZ,32,7,1905,268.046447603399,452.740920418141
11-9UIZ,33,34,1904,296.206105143143,455.308427901384
11-9UIZ,34,17,1904,255.625410983102,374.039366170654
11-9UIZ,35,10,1906,280.305097991355,466.331379491902
11-9UIZ,36,36,1904,286.225497392346,435.395017192716
11-9UIZ,37,27,1904,293.310087677185,463.480140635474
11-9UIZ,38,18,1905,267.515208039964,411.371108552134
