participantID,seq,exp,preDynamicMedian,walkDynamicMedian,walkRawMedian,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
06-9UA7,1,6,20.9931875835463,284.789847629839,1006.43884129379,1,0.834782608695652,3.4,4.1,6.7,2.6,1
06-9UA7,2,27,17.9989059870409,266.180011280954,1002.31985232738,1,0.842085379675104,4.1,3.8,4,3.2,1
06-9UA7,3,9,22.8971595026936,254.687956342314,994.906454034313,1,0.789230122002524,7.5,3.7,5.6,6.9,3
06-9UA7,4,30,22.0472952205494,245.739354737105,999.419195536891,1,0.897577560560986,1.5,3.7,3,5.4,5
06-9UA7,5,20,23.3037603119801,248.36060463125,997.238166104833,1,0.881490787269682,7.4,4.2,5.3,7.9,5
06-9UA7,6,34,22.7187060777615,252.42233819927,999.927417891394,1,0.934782608695652,3.2,4.1,7,1,1
06-9UA7,7,7,21.9113237469921,230.469437527186,990.666267984179,1,0.89909762100082,2.4,3.5,3,1,3
06-9UA7,8,24,21.7614270895206,237.474499374215,988.355779200229,1,0.905997447894513,3.1,3.6,3,7.5,5
06-9UA7,9,5,21.603896048205,236.779513710463,993.665479963051,1,0.892382103990326,6.9,3.1,4.6,7.3,4
06-9UA7,10,15,22.8162184605486,266.085254311665,1001.45053746103,1,0.913385826771654,5,3.6,3.2,3.6,1
06-9UA7,11,13,23.3659671782571,261.132769306012,1004.34532753578,1,0.913289760348584,5.4,3.6,3.1,5.8,1
06-9UA7,12,37,21.0229939998704,258.015943387009,993.957648609294,1,0.839700669554943,1.1,1.6,9,1,1
06-9UA7,13,33,23.8159920594341,247.991771778639,993.88462255287,1,0.914648670107185,4,2.8,5,1.2,1
06-9UA7,14,36,23.2903197839696,240.93479626339,993.007925895497,1,0.873718737187372,4.2,2.7,5.4,1.1,1
06-9UA7,15,38,22.9753391807194,262.172052531,997.965705536329,1,0.915324246179265,3.8,3.4,5.5,1,1
06-9UA7,16,40,23.1124409449739,242.90758687074,996.218718278994,1,0.900119856172593,3.7,2.8,5.6,1.1,1
06-9UA7,17,39,24.0526415785952,235.549856852321,992.313316870467,1,0.933066132264529,3.1,3.4,6.2,1.1,1
06-9UA7,18,19,22.7124427872972,226.47913122195,991.362024286625,1,0.934126984126984,5.3,3.6,5.2,7.3,3
06-9UA7,19,18,23.1124409449739,233.786564663205,995.489902087886,1,0.917752442996743,6.4,3.2,4.4,7.3,4
06-9UA7,20,8,21.3907397980142,274.735471956887,1008.74388862335,1,0.939243924392439,6.5,3.2,4.4,8.8,4
06-9UA7,21,10,22.7174527008434,245.279911301886,995.271153159681,1,0.912040990606319,4.5,3,5.5,1,1
06-9UA7,22,32,24.0040750209769,232.323227448226,995.708602958766,1,0.918196328810854,3.2,3.1,5.7,1,1
06-9UA7,23,23,21.7810376368908,230.931973269579,995.562807716318,1,0.946205170975813,3.8,3,4.3,1.9,1
06-9UA7,24,21,22.5804765800294,232.617316744598,991.837788000885,1,0.902049180327869,4.1,2.7,4.1,5.3,1
06-9UA7,25,14,24.011188862208,236.140480252942,988.465925588852,1,0.892899176147509,6.2,3.4,5.5,9,5
06-9UA7,26,12,24.227130890622,237.22806920778,994.176686548253,1,0.942346731628096,6.6,3.5,4.6,6.8,1
06-9UA7,27,29,23.1849845934707,229.005291360534,991.910959361519,1,0.916500199760288,4.6,3.7,5.3,9,5
06-9UA7,28,22,23.6901739785803,206.804761798877,985.450845623062,1,0.895500725689405,5,3.2,4,6,1
06-9UA7,29,25,24.3057279406466,235.468400384129,992.20360433317,1,0.944152165115338,4.8,2.9,3.7,8.9,5
06-9UA7,30,1,24.1706848924121,231.531672257777,992.569285842042,1,0.93864774624374,6.9,2.6,3.6,6.8,5
06-9UA7,31,2,23.4632143670117,215.802697965113,986.039877860729,1,0.835424354243542,5.1,3.3,4.1,5.8,1
06-9UA7,32,3,24.5666365067109,226.840407393599,988.686180189332,1,0.895121014214368,7.1,3.2,5,8.6,5
06-9UA7,33,28,24.3033866868161,235.069896001906,995.052356142456,1,0.943057722308892,5,3.1,2.9,7.6,4
06-9UA7,34,17,23.198484475153,226.774273052931,987.143365964306,1,0.934281322059954,5,2.5,2.4,2.2,1
06-9UA7,35,11,23.5914487005021,233.902195576041,988.025269087755,1,0.898434363709354,5.8,2.8,3.1,7.8,2
06-9UA7,36,26,23.4195031035404,234.338378515923,985.450845623062,1,0.940345368916798,5,3,1.7,3,1
06-9UA7,37,31,22.6597463161444,233.81456555401,986.70211881451,1,0.909849086576648,3.1,3.8,2.6,1,1
06-9UA7,38,4,25.8823143799126,259.27233084774,997.092594515691,1,0.887008040626322,6.5,4,4,8.8,4
07-9UAD,1,22,22.6006354740974,249.949401528782,991.288809706045,1,0.757419865453106,3.2,6.6,3.2,5,1
07-9UAD,2,15,21.0013208015375,242.047992999628,990.263220930515,1,0.800982800982801,5,5.7,5,3,1
