normalization,subjectID,markerGroup,nValidEmotions,spearmanRho
baseline-normalized,XJ1505,WRIST_R,5,0.9
baseline-normalized,XJ1505,LTORSO,5,0.7
baseline-normalized,AC1602,UTORSO,5,0.6
baseline-normalized,AC1602,HEAD,5,0.6
baseline-normalized,AC1602,UPPER_LIMB_L,5,0.7
baseline-normalized,AC1602,UPPER_LIMB_R,5,0.7
baseline-normalized,AC1602,LOWER_LIMB_L,5,0.6
baseline-normalized,AC1602,LOWER_LIMB_R,5,0.6
baseline-normalized,AC1602,WRIST_L,5,0.9
baseline-normalized,AC1602,WRIST_R,5,0.6
baseline-normalized,AC1602,LTORSO,5,0.7
baseline-normalized,AK1703,UTORSO,5,0.9
baseline-normalized,AK1703,HEAD,5,0.7
baseline-normalized,AK1703,UPPER_LIMB_L,5,0.9
baseline-normalized,AK1703,UPPER_LIMB_R,5,0.6
baseline-normalized,AK1703,LOWER_LIMB_L,5,0.9
baseline-normalized,AK1703,LOWER_LIMB_R,5,0.9
baseline-normalized,AK1703,WRIST_L,5,0.7
baseline-normalized,AK1703,WRIST_R,5,-0.1
baseline-normalized,AK1703,LTORSO,5,0.8
baseline-normalized,AU1001,UTORSO,5,0.4
baseline-normalized,AU1001,HEAD,5,0.4
baseline-normalized,AU1001,UPPER_LIMB_L,5,0.7
baseline-normalized,AU1001,UPPER_LIMB_R,5,0.5
baseline-normalized,AU1001,LOWER_LIMB_L,5,0.4
baseline-normalized,AU1001,LOWER_LIMB_R,5,1
baseline-normalized,AU1001,WRIST_L,5,0.9
baseline-normalized,AU1001,WRIST_R,5,0.7
baseline-normalized,AU1001,LTORSO,5,0.7
baseline-normalized,IJ1701,UTORSO,5,0.9
baseline-normalized,IJ1701,HEAD,5,0.7
baseline-normalized,IJ1701,UPPER_LIMB_L,5,0.6
baseline-normalized,IJ1701,UPPER_LIMB_R,5,0.7
baseline-normalized,IJ1701,LOWER_LIMB_L,5,0.7
baseline-normalized,IJ1701,LOWER_LIMB_R,5,0.9
baseline-normalized,IJ1701,WRIST_L,5,0.6
baseline-normalized,IJ1701,WRIST_R,5,0.9
baseline-normalized,IJ1701,LTORSO,5,0.7
baseline-normalized,LE2202,UTORSO,5,0.6
baseline-normalized,LE2202,HEAD,5,0.8
baseline-normalized,LE2202,UPPER_LIMB_L,5,0.7
baseline-normalized,LE2202,UPPER_LIMB_R,5,0.4
baseline-normalized,LE2202,LOWER_LIMB_L,5,0.7
baseline-normalized,LE2202,LOWER_LIMB_R,5,0.9
baseline-normalized,LE2202,WRIST_L,5,0.5
baseline-normalized,LE2202,WRIST_R,5,0.7
baseline-normalized,LE2202,LTORSO,5,0.4
baseline-normalized,MB0502,UTORSO,5,0.9
baseline-normalized,MB0502,HEAD,5,-0.3
baseline-normalized,MB0502,UPPER_LIMB_L,5,0.9
baseline-normalized,MB0502,UPPER_LIMB_R,5,0.9
baseline-normalized,MB0502,LOWER_LIMB_L,5,0.9
baseline-normalized,MB0502,LOWER_LIMB_R,5,0.9
baseline-normalized,MB0502,WRIST_L,5,0.8
baseline-normalized,MB0502,WRIST_R,5,0.8
baseline-normalized,MB0502,LTORSO,5,0.9
baseline-normalized,MJ1800,UTORSO,5,0.9
baseline-normalized,MJ1800,HEAD,5,0.9
baseline-normalized,MJ1800,UPPER_LIMB_L,5,0.7
baseline-normalized,MJ1800,UPPER_LIMB_R,5,0.9
baseline-normalized,MJ1800,LOWER_LIMB_L,5,0.9
baseline-normalized,MJ1800,LOWER_LIMB_R,5,1
baseline-normalized,MJ1800,WRIST_L,5,0.9
baseline-normalized,MJ1800,WRIST_R,5,0.9
baseline-normalized,MJ1800,LTORSO,5,0.7
baseline-normalized,MS2002,UTORSO,5,0.7
baseline-normalized,MS2002,HEAD,5,0.7
baseline-normalized,MS2002,UPPER_LIMB_L,5,0.6
baseline-normalized,MS2002,UPPER_LIMB_R,5,0.9
baseline-normalized,MS2002,LOWER_LIMB_L,5,0.9
baseline-normalized,MS2002,LOWER_LIMB_R,5,0.7
baseline-normalized,MS2002,WRIST_L,5,0.7
baseline-normalized,MS2002,WRIST_R,5,0.9
baseline-normalized,MS2002,LTORSO,5,0.6
baseline-normalized,MT2401,UTORSO,5,0.7
baseline-normalized,MT2401,HEAD,5,0.9
baseline-normalized,MT2401,UPPER_LIMB_L,5,0.7
baseline-normalized,MT2401,UPPER_LIMB_R,5,0.7
baseline-normalized,MT2401,LOWER_LIMB_L,5,0.9
baseline-normalized,MT2401,LOWER_LIMB_R,5,0.9
baseline-normalized,MT2401,WRIST_L,5,0.7
baseline-normalized,MT2401,WRIST_R,5,0.5
baseline-normalized,MT2401,LTORSO,5,0.9
baseline-normalized,RC2602,UTORSO,5,0.7
baseline-normalized,RC2602,HEAD,5,0.9
baseline-normalized,RC2602,UPPER_LIMB_L,5,0.6
baseline-normalized,RC2602,UPPER_LIMB_R,5,0.7
baseline-normalized,RC2602,LOWER_LIMB_L,5,0.9
baseline-normalized,RC2602,LOWER_LIMB_R,5,1
baseline-normalized,RC2602,WRIST_L,5,0.7
baseline-normalized,RC2602,WRIST_R,5,0.9
baseline-normalized,RC2602,LTORSO,5,1
baseline-normalized,SC0401,UTORSO,5,0.9
baseline-normalized,SC0401,HEAD,5,0.9
baseline-normalized,SC0401,UPPER_LIMB_L,5,0.7
baseline-normalized,SC0401,UPPER_LIMB_R,5,0.6
baseline-normalized,SC0401,LOWER_LIMB_L,5,0.9
baseline-normalized,SC0401,LOWER_LIMB_R,5,0.9
baseline-normalized,SC0401,WRIST_L,5,0.7
baseline-normalized,SC0401,WRIST_R,5,0.9
baseline-normalized,SC0401,LTORSO,5,0.6
baseline-normalized,SC3001,UTORSO,5,0.3
baseline-normalized,SC3001,HEAD,5,0.4
baseline-normalized,SC3001,UPPER_LIMB_L,5,0.4
baseline-normalized,SC3001,UPPER_LIMB_R,5,0.3
baseline-normalized,SC3001,LOWER_LIMB_L,5,0.5
baseline-normalized,SC3001,LOWER_LIMB_R,5,0.8
