normalization,subjectID,markerGroup,emotion,fullMedian,microMedian
absolute,AK1703,LOWER_LIMB_R,SAD,7.58350052162298,4.4683719748977
absolute,AK1703,WRIST_L,NEUTRAL,43.0690446287277,16.0639109638909
absolute,AK1703,WRIST_L,DISGUST,76.494813444014,18.7481070043565
absolute,AK1703,WRIST_L,FEAR,40.1848750250583,18.5154956371929
absolute,AK1703,WRIST_L,JOY,64.2936749611682,18.0220325419965
absolute,AK1703,WRIST_L,SAD,33.0758793651121,10.4185607544245
absolute,AK1703,WRIST_R,NEUTRAL,28.7909011541741,15.5063864842302
absolute,AK1703,WRIST_R,DISGUST,60.3288417200889,22.5653931263261
absolute,AK1703,WRIST_R,FEAR,43.8687269497191,15.9814039528958
absolute,AK1703,WRIST_R,JOY,69.6407743867626,14.759626439589
absolute,AK1703,WRIST_R,SAD,31.8019712960099,14.8144647820906
absolute,AK1703,LTORSO,NEUTRAL,25.911823694128,14.2140919316034
absolute,AK1703,LTORSO,DISGUST,45.5073085758878,22.65194924603
absolute,AK1703,LTORSO,FEAR,32.9324380158616,15.262828944212
absolute,AK1703,LTORSO,JOY,37.9908574187521,15.2258554367931
absolute,AK1703,LTORSO,SAD,31.4629857343683,11.9972365142872
absolute,AU1001,UTORSO,NEUTRAL,40.7128907484073,16.1259037410537
absolute,AU1001,UTORSO,DISGUST,91.7992302139904,23.74162192963
absolute,AU1001,UTORSO,FEAR,24.8851651271005,14.5565176809322
absolute,AU1001,UTORSO,JOY,45.3776836727379,13.2827710055931
absolute,AU1001,UTORSO,SAD,36.4866626416863,14.7211629144969
absolute,AU1001,HEAD,NEUTRAL,50.1540338605153,16.4408577906277
absolute,AU1001,HEAD,DISGUST,107.149521636044,25.280458901879
absolute,AU1001,HEAD,FEAR,35.2273876461792,17.1006619251025
absolute,AU1001,HEAD,JOY,68.0478166868002,16.568449718428
absolute,AU1001,HEAD,SAD,42.7811401293035,15.993054245954
absolute,AU1001,UPPER_LIMB_L,NEUTRAL,57.7569577887067,18.1497555777531
absolute,AU1001,UPPER_LIMB_L,DISGUST,133.390969007894,24.4703847448731
absolute,AU1001,UPPER_LIMB_L,FEAR,27.8596294035954,14.1258864504428
absolute,AU1001,UPPER_LIMB_L,JOY,51.3440807606924,13.2773361639987
absolute,AU1001,UPPER_LIMB_L,SAD,45.796714844515,15.7419509473262
