normalization,subjectID,markerGroup,pairLabel,comparable,deltaFull,deltaMicro,signFlip
absolute,XJ1505,UPPER_LIMB_L,JOY-SAD,1,7.97747526351972,-3.87184452180226,1
absolute,XJ1505,UPPER_LIMB_R,NEUTRAL-DISGUST,1,-85.3701012445008,-1.9046126522213,0
absolute,XJ1505,UPPER_LIMB_R,NEUTRAL-FEAR,1,-60.9788526089709,0.987969902772178,1
absolute,XJ1505,UPPER_LIMB_R,NEUTRAL-JOY,1,-3.94933666427316,6.93606814547161,1
absolute,XJ1505,UPPER_LIMB_R,NEUTRAL-SAD,1,-10.6536560897116,2.97439610515104,1
absolute,XJ1505,UPPER_LIMB_R,DISGUST-FEAR,1,24.3912486355299,2.89258255499348,0
absolute,XJ1505,UPPER_LIMB_R,DISGUST-JOY,1,81.4207645802277,8.84068079769291,0
absolute,XJ1505,UPPER_LIMB_R,DISGUST-SAD,1,74.7164451547893,4.87900875737234,0
absolute,XJ1505,UPPER_LIMB_R,FEAR-JOY,1,57.0295159446978,5.94809824269943,0
absolute,XJ1505,UPPER_LIMB_R,FEAR-SAD,1,50.3251965192594,1.98642620237886,0
absolute,XJ1505,UPPER_LIMB_R,JOY-SAD,1,-6.7043194254384,-3.96167204032057,0
absolute,XJ1505,LOWER_LIMB_L,NEUTRAL-DISGUST,1,-31.5005224882745,-2.89037643593881,0
absolute,XJ1505,LOWER_LIMB_L,NEUTRAL-FEAR,1,-23.8256386241091,-1.33309218334637,0
absolute,XJ1505,LOWER_LIMB_L,NEUTRAL-JOY,1,-8.12079065105156,4.28572062906106,1
absolute,XJ1505,LOWER_LIMB_L,NEUTRAL-SAD,1,-9.26710488636554,3.18694665683542,1
absolute,XJ1505,LOWER_LIMB_L,DISGUST-FEAR,1,7.67488386416542,1.55728425259244,0
absolute,XJ1505,LOWER_LIMB_L,DISGUST-JOY,1,23.379731837223,7.17609706499987,0
absolute,XJ1505,LOWER_LIMB_L,DISGUST-SAD,1,22.233417601909,6.07732309277423,0
absolute,XJ1505,LOWER_LIMB_L,FEAR-JOY,1,15.7048479730576,5.61881281240744,0
absolute,XJ1505,LOWER_LIMB_L,FEAR-SAD,1,14.5585337377436,4.52003884018179,0
absolute,XJ1505,LOWER_LIMB_L,JOY-SAD,1,-1.14631423531397,-1.09877397222565,0
absolute,XJ1505,LOWER_LIMB_R,NEUTRAL-DISGUST,1,-25.6224157435364,-3.37157701495109,0
absolute,XJ1505,LOWER_LIMB_R,NEUTRAL-FEAR,1,-18.6125017801605,-0.950790827072392,0
absolute,XJ1505,LOWER_LIMB_R,NEUTRAL-JOY,1,-8.67786295727081,3.11674326689133,1
absolute,XJ1505,LOWER_LIMB_R,NEUTRAL-SAD,1,-6.6743309686374,1.29120087257714,1
absolute,XJ1505,LOWER_LIMB_R,DISGUST-FEAR,1,7.00991396337594,2.4207861878787,0
absolute,XJ1505,LOWER_LIMB_R,DISGUST-JOY,1,16.9445527862656,6.48832028184242,0
absolute,XJ1505,LOWER_LIMB_R,DISGUST-SAD,1,18.948084774899,4.66277788752824,0
absolute,XJ1505,LOWER_LIMB_R,FEAR-JOY,1,9.93463882288968,4.06753409396372,0
absolute,XJ1505,LOWER_LIMB_R,FEAR-SAD,1,11.9381708115231,2.24199169964954,0
