normalization,markerGroup,pairLabel,method,nIncluded,nTotal,flipFraction
baseline-normalized,WRIST_R,NEUTRAL-SAD,deadzone,25,27,0.28
baseline-normalized,WRIST_R,NEUTRAL-SAD,bootstrap_ci,26,27,0.307692307692308
baseline-normalized,WRIST_R,DISGUST-JOY,reference,27,27,0.259259259259259
baseline-normalized,WRIST_R,DISGUST-JOY,deadzone,27,27,0.259259259259259
baseline-normalized,WRIST_R,DISGUST-JOY,bootstrap_ci,27,27,0.259259259259259
baseline-normalized,WRIST_R,DISGUST-SAD,reference,27,27,0.296296296296296
baseline-normalized,WRIST_R,DISGUST-SAD,deadzone,27,27,0.296296296296296
baseline-normalized,WRIST_R,DISGUST-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,WRIST_R,JOY-SAD,reference,27,27,0.222222222222222
baseline-normalized,WRIST_R,JOY-SAD,deadzone,27,27,0.222222222222222
baseline-normalized,WRIST_R,JOY-SAD,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,LTORSO,NEUTRAL-DISGUST,reference,27,27,0.259259259259259
baseline-normalized,LTORSO,NEUTRAL-DISGUST,deadzone,24,27,0.291666666666667
baseline-normalized,LTORSO,NEUTRAL-DISGUST,bootstrap_ci,26,27,0.269230769230769
baseline-normalized,LTORSO,NEUTRAL-JOY,reference,27,27,0.222222222222222
baseline-normalized,LTORSO,NEUTRAL-JOY,deadzone,25,27,0.2
baseline-normalized,LTORSO,NEUTRAL-JOY,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,LTORSO,NEUTRAL-SAD,reference,27,27,0.296296296296296
baseline-normalized,LTORSO,NEUTRAL-SAD,deadzone,26,27,0.307692307692308
baseline-normalized,LTORSO,NEUTRAL-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,LTORSO,DISGUST-JOY,reference,27,27,0.111111111111111
baseline-normalized,LTORSO,DISGUST-JOY,deadzone,26,27,0.115384615384615
baseline-normalized,LTORSO,DISGUST-JOY,bootstrap_ci,27,27,0.111111111111111
baseline-normalized,LTORSO,DISGUST-SAD,reference,27,27,0.296296296296296
baseline-normalized,LTORSO,DISGUST-SAD,deadzone,27,27,0.296296296296296
baseline-normalized,LTORSO,DISGUST-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,LTORSO,JOY-SAD,reference,27,27,0.296296296296296
baseline-normalized,LTORSO,JOY-SAD,deadzone,26,27,0.307692307692308
baseline-normalized,LTORSO,JOY-SAD,bootstrap_ci,27,27,0.296296296296296
