normalization,subjectID,markerGroup,pairLabel,deltaFull,ciFullLow,ciFullHigh,deltaMicro,ciMicroLow,ciMicroHigh,okFull,okMicro,includeCI
absolute,XC3002,UPPER_LIMB_L,DISGUST-JOY,-34.2084224327653,-36.653002562166,-32.1703107039287,-0.648199917796894,-1.4383798448075,-0.0830238912885477,1,1,1
absolute,XC3002,UPPER_LIMB_L,DISGUST-SAD,-29.4925028376843,-32.3600614116865,-27.8177265635703,-0.28335694009365,-0.784888369053798,0.346423074315262,1,1,1
absolute,XC3002,UPPER_LIMB_L,JOY-SAD,4.71591959508096,3.60139855462808,6.34048886434345,0.364842977703244,0.00691861663843252,0.713038722735035,1,1,1
absolute,XC3002,UPPER_LIMB_R,NEUTRAL-DISGUST,7.81838508963375,6.13315018955849,9.882060650473,-4.1610198596034,-4.7730391886089,-3.52478773387814,1,1,1
absolute,XC3002,UPPER_LIMB_R,NEUTRAL-JOY,-26.0628500229386,-28.0596723439355,-24.5947039131858,-6.11031576551183,-6.67816830482291,-5.46922469893835,1,1,1
absolute,XC3002,UPPER_LIMB_R,NEUTRAL-SAD,-22.4208659391805,-24.6706610346548,-20.5389989675706,-5.00617166586358,-5.49376511745962,-4.58716311321817,1,1,1
absolute,XC3002,UPPER_LIMB_R,DISGUST-JOY,-33.8812351125723,-35.8756526078517,-30.5061212135386,-1.94929590590843,-2.72322034974568,-1.39450686785662,1,1,1
absolute,XC3002,UPPER_LIMB_R,DISGUST-SAD,-30.2392510288142,-32.8301082086295,-29.1087791791711,-0.84515180626018,-1.87595306537994,-0.0387024047024047,1,1,1
absolute,XC3002,UPPER_LIMB_R,JOY-SAD,3.6419840837581,1.93969246818946,5.17953510031014,1.10414409964825,0.668463137718861,1.3120232587885,1,1,1
absolute,XC3002,WRIST_L,NEUTRAL-DISGUST,19.2156854149372,14.289008129891,24.0444676153431,-1.75425087158505,-3.50377827580339,-0.174993382662924,1,1,1
absolute,XC3002,WRIST_L,NEUTRAL-JOY,-30.5702520831553,-34.362302485402,-27.5829252525488,-1.65942275868663,-3.27327102546209,0.7284437474335,1,1,1
absolute,XC3002,WRIST_L,NEUTRAL-SAD,-23.7160206522292,-29.9883419059762,-16.1804686513485,2.63396754938833,1.47430618326887,5.02503948791595,1,1,1
absolute,XC3002,WRIST_L,DISGUST-JOY,-49.7859374980925,-55.8400104929462,-45.4266823880816,0.0948281128984227,-2.11725657228612,1.45346347655365,1,1,1
absolute,XC3002,WRIST_L,DISGUST-SAD,-42.9317060671664,-50.0036444116259,-34.9990910656761,4.38821842097338,3.36604163657191,5.54893264278714,1,1,1
absolute,XC3002,WRIST_L,JOY-SAD,6.85423143092611,-0.626769010630554,11.2078038232857,4.29339030807496,3.3414123528973,5.43997986751376,1,1,1
absolute,XC3002,WRIST_R,NEUTRAL-DISGUST,-1.03330875623791,-7.37771789416279,5.58110137174598,-7.36919272956038,-8.48147848358014,-5.60079638843749,1,1,1
absolute,XC3002,WRIST_R,NEUTRAL-JOY,-48.5116629381645,-55.1953511844736,-42.2198549621563,-7.75533661059373,-9.16718160972325,-6.11201505417862,1,1,1
absolute,XC3002,WRIST_R,NEUTRAL-SAD,-31.5553284465616,-39.4687917052598,-26.433592725291,-2.86625967638487,-3.30909473814,-1.32786613261248,1,1,1
absolute,XC3002,WRIST_R,DISGUST-JOY,-47.4783541819265,-51.0821546817247,-41.2520442652026,-0.386143881033346,-1.81599824328491,0.990151306863331,1,1,1
absolute,XC3002,WRIST_R,DISGUST-SAD,-30.5220196903237,-35.4581489515317,-22.4883051217673,4.50293305317551,3.2678353642068,5.62172163652218,1,1,1
absolute,XC3002,WRIST_R,JOY-SAD,16.9563344916028,11.697978280525,20.9276470272234,4.88907693420886,4.19946562949765,6.09712383636396,1,1,1
absolute,XC3002,LTORSO,NEUTRAL-DISGUST,12.3368470658937,10.0299033812038,14.7973726455602,0.258124168241505,-0.378298580636717,0.843443276066646,1,1,1
absolute,XC3002,LTORSO,NEUTRAL-JOY,-20.4693775026116,-22.7023544757172,-19.0325695721146,-1.23509192456654,-1.63750926032831,-0.908529034532488,1,1,1
absolute,XC3002,LTORSO,NEUTRAL-SAD,-7.63049560978165,-9.73723348624607,-5.36503722924938,-1.68864917202048,-2.16278801224278,-0.802007733842997,1,1,1
absolute,XC3002,LTORSO,DISGUST-JOY,-32.8062245685053,-34.5613099803992,-31.4456191793436,-1.49321609280804,-1.97389605189645,-0.815719856367098,1,1,1
absolute,XC3002,LTORSO,DISGUST-SAD,-19.9673426756754,-22.215577292002,-18.1931496821499,-1.94677334026199,-2.41582011792301,-1.59921785952014,1,1,1
absolute,XC3002,LTORSO,JOY-SAD,12.8388818928299,11.5405632183845,14.6568530531718,-0.453557247453944,-1.06583985414181,-0.0935642155041885,1,1,1
absolute,XJ1802,UTORSO,NEUTRAL-DISGUST,-14.4765233206803,-15.7215779460706,-13.166802947649,3.05452462626084,2.71578478377168,3.41553011869033,1,1,1
absolute,XJ1802,UTORSO,NEUTRAL-JOY,34.0924781642743,32.5181971181072,36.8215000034733,6.08239279137615,5.81206526026915,6.50550824119758,1,1,1
absolute,XJ1802,UTORSO,NEUTRAL-SAD,-8.19004819784832,-9.42019734277701,-6.95013123297554,5.31644556457516,5.05719698733774,5.57713378443994,1,1,1
absolute,XJ1802,UTORSO,DISGUST-JOY,48.5690014849545,47.3302731795654,50.6236656059952,3.02786816511531,2.63413699254757,3.35751680518752,1,1,1
absolute,XJ1802,UTORSO,DISGUST-SAD,6.28647512283194,5.45376037758663,7.02282887406498,2.26192093831433,2.05520180720498,2.58494045540845,1,1,1
absolute,XJ1802,UTORSO,JOY-SAD,-42.2825263621226,-44.7223632690743,-41.1654716470824,-0.765947226800986,-1.15291071610512,-0.329290577005757,1,1,1
absolute,XJ1802,HEAD,NEUTRAL-DISGUST,-9.33621228272617,-11.5636532925705,-8.15833990842186,3.34271555498588,2.99704517600138,3.5652240126162,1,1,1
absolute,XJ1802,HEAD,NEUTRAL-JOY,44.0420489039707,40.4505761111841,46.3812381206993,5.3017805380672,4.50518624876978,5.82696739282042,1,1,1
absolute,XJ1802,HEAD,NEUTRAL-SAD,-3.86578326816351,-5.48617978631357,-2.04287469129637,6.28321754795268,5.78592658341127,6.65964179877443,1,1,1
absolute,XJ1802,HEAD,DISGUST-JOY,53.3782611866968,50.8120639146165,55.0916881154589,1.95906498308132,1.50651914140744,2.42213636992427,1,1,1
