participantID,seq,exp,clipDynamicMedian,clipSelectedFrac,clipCandidateSamples,valence,dominance,arousal,liking,familiarity
04-9U66,20,10,21.0175784935864,1,6440,6.3,3.7,8.6,7.9,2
04-9U66,21,32,19.0334231488815,1,6390,1.8,1.4,8.2,1.4,1
04-9U66,22,15,18.7986936936388,1,6476,7.4,6.1,1.7,5.3,1
04-9U66,23,27,18.8621774423237,1,6415,6.5,7,3.6,5.7,1
04-9U66,24,29,18.6038833203114,1,6554,3.9,6,4.1,4,1
04-9U66,25,34,19.7121937598892,1,6677,1.9,3.3,5.4,2,1
04-9U66,26,33,18.5456550606749,1,6064,3.5,6,6.3,4.1,1
04-9U66,27,6,19.6804022090537,1,6490,8.9,2.1,8.2,8.6,4
04-9U66,28,8,20.0784312836036,0.992282759685137,6479,8.5,3.3,6.6,8,3
04-9U66,29,20,18.7289169734013,1,6386,8.6,1.9,8.4,6.8,4
04-9U66,30,37,20.7339863388084,1,6399,1.2,1.2,8.7,1,1
04-9U66,31,26,18.756251821769,1,6248,6.4,4.4,3.1,6.4,1
04-9U66,32,39,18.7805160645427,1,6508,2.4,2.3,7.4,1.9,1
04-9U66,33,36,19.3757809555643,1,6476,3.6,5.3,5.7,2.8,1
04-9U66,34,21,20.2450132630556,1,6739,2.5,7,3.5,3.2,1
04-9U66,35,24,19.7295130138611,1,5635,3.8,3.2,4.4,7.1,2
04-9U66,36,13,19.8675235310728,1,6427,7.6,2.4,1.9,7.3,1
04-9U66,37,38,19.8417196798231,1,5992,1.4,1.8,7.2,1.3,1
04-9U66,38,7,19.6166645400168,1,6409,6.5,4.3,7.9,7.6,3
05-9U8B,1,27,25.6991197443584,0.996859789605904,6369,5.3,8.9,5.2,6.9,1
05-9U8B,2,5,24.9163581067969,0.988434849653046,6485,8,4.7,7,8.1,1
05-9U8B,3,22,24.7190976348264,0.977406235878897,6639,6.9,5.7,5.3,8.2,1
05-9U8B,4,11,28.4472654165532,1,6445,6.9,7.7,5.3,5.2,1
05-9U8B,5,6,24.3898967958346,0.986943164362519,6510,6.1,7.8,6,7.7,1
05-9U8B,6,7,25.9909580454655,0.994544037412315,6415,4.1,8.3,5.7,5,1
05-9U8B,7,19,24.4015638124291,1,6514,7,8,5.4,6.8,1
05-9U8B,8,24,24.1859897901509,0.990947816826411,5634,4.1,7.2,6.8,8.3,1
05-9U8B,9,26,28.1414584901003,0.99179008370895,6212,4.8,8.2,4,4.3,1
05-9U8B,10,2,28.2383868775051,1,6410,5,7.6,5.9,5.8,1
05-9U8B,11,28,31.0735124185938,0.970583705529031,6493,4.4,8.5,5,7.3,1
05-9U8B,12,15,26.1742872539391,0.982915191626905,6497,6.7,8.3,3,7.9,1
05-9U8B,13,9,24.8316822935905,1,6431,7,7.2,6.9,8,1
05-9U8B,14,4,23.2646436074217,0.984097859327217,6540,6,8.1,3.7,5.5,1
05-9U8B,15,20,26.0598576595894,1,6409,7.2,7.3,6,8.7,3
05-9U8B,16,21,22.1001622107632,0.974027901454438,6738,3.4,8.3,4.2,2.3,1
05-9U8B,17,12,21.9217131851041,1,6463,7.6,7.3,5.9,8.7,1
05-9U8B,18,14,26.995459790585,0.995963359726751,6441,7.8,6.9,5.7,8.4,1
05-9U8B,19,13,23.5153185872614,1,6388,5.8,8.7,3,5.3,1
05-9U8B,20,40,25.0791783394213,0.998059411852515,6699,3.2,8,5.7,3.5,1
05-9U8B,21,8,21.9243097753631,0.993021091811414,6448,5,8.2,6,7.3,1
05-9U8B,22,29,23.8303289677614,0.983581402485806,6517,4.2,8.6,5,6.5,1
05-9U8B,23,23,23.0914963710626,0.994761171032358,6490,3.3,8.7,3.2,5,2
05-9U8B,24,30,22.3103761183813,0.986239950525665,6468,3,7.6,6.3,8.3,2
05-9U8B,25,34,23.0137117009927,1,6663,5.7,6.9,7.5,7.4,1
05-9U8B,26,37,21.7103580422915,1,6368,2.3,6.5,6.5,8.5,1
05-9U8B,27,25,27.3994147644739,0.965401102265768,6532,5,8.4,4.5,3,1
05-9U8B,28,33,22.9393858150758,0.987989470220467,6078,4,8.7,4.1,5.7,1
05-9U8B,29,38,22.6923832181045,0.990474598930481,5984,2.1,7.6,5.4,6,1
05-9U8B,30,1,21.7496528401316,0.96552257266543,6468,7.6,8.3,5.5,8.6,1
05-9U8B,31,39,22.7850106845189,1,6475,2,7.6,6.3,7.1,1
05-9U8B,32,31,21.5814964419698,1,6401,4.6,8.3,5,5.3,1
05-9U8B,33,17,21.8175961720188,0.98106183230819,6178,5,8.8,4,3.4,1
05-9U8B,34,36,22.3791607697608,0.938788065210704,6502,3.8,8.8,4,5.9,1
05-9U8B,35,10,22.1464776556488,0.982276119402985,6432,4.2,8.3,6,6.5,1
05-9U8B,36,32,21.4889793431577,1,6372,3.6,8.5,4.2,6.9,1
05-9U8B,37,18,23.1247526101724,0.993128221146338,6403,6.9,7.5,5.6,7.8,1
05-9U8B,38,3,22.9344221915588,1,6857,7.8,7.4,6.5,8.8,2
06-9UA7,1,6,21.0311163877396,1,6538,3.4,4.1,6.7,2.6,1
06-9UA7,2,27,18.7744529437828,0.987681272415406,6413,4.1,3.8,4,3.2,1
06-9UA7,3,9,22.7149489878883,0.997519379844961,6450,7.5,3.7,5.6,6.9,3
06-9UA7,4,30,23.1099779823559,1,6465,1.5,3.7,3,5.4,5
06-9UA7,5,20,23.0433749292462,1,6426,7.4,4.2,5.3,7.9,5
06-9UA7,6,34,22.7675154727261,1,6695,3.2,4.1,7,1,1
06-9UA7,7,7,22.0279224025048,1,6369,2.4,3.5,3,1,3
06-9UA7,8,24,21.754886783858,0.993454802759597,5653,3.1,3.6,3,7.5,5
06-9UA7,9,5,21.6183924208159,1,6486,6.9,3.1,4.6,7.3,4
06-9UA7,10,15,22.6999076338575,1,6460,5,3.6,3.2,3.6,1
06-9UA7,11,13,22.4604105428762,1,6419,5.4,3.6,3.1,5.8,1
06-9UA7,12,37,22.043422291184,1,6399,1.1,1.6,9,1,1
06-9UA7,13,33,22.7850106845189,1,6055,4,2.8,5,1.2,1
06-9UA7,14,36,22.6346129307885,1,6502,4.2,2.7,5.4,1.1,1
06-9UA7,15,38,22.4426622899719,1,5981,3.8,3.4,5.5,1,1
06-9UA7,16,40,23.0458451414985,1,6700,3.7,2.8,5.6,1.1,1
06-9UA7,17,39,22.6018948430679,1,6500,3.1,3.4,6.2,1.1,1
06-9UA7,18,19,23.7177912414758,1,6501,5.3,3.6,5.2,7.3,3
06-9UA7,19,18,22.6647723218219,1,6455,6.4,3.2,4.4,7.3,4
06-9UA7,20,8,23.1542735829712,1,6464,6.5,3.2,4.4,8.8,4
06-9UA7,21,10,23.3110873866186,1,6477,4.5,3,5.5,1,1
06-9UA7,22,32,23.1321363853411,0.992193598750976,6405,3.2,3.1,5.7,1,1
06-9UA7,23,23,22.4920689823024,1,6504,3.8,3,4.3,1.9,1
06-9UA7,24,21,23.0853325898459,1,6724,4.1,2.7,4.1,5.3,1
