participantID,seq,exp,nSamples,medianVal,maxVal
04-9U66,31,26,500,18.772936796398,37.4927710042474
04-9U66,32,39,500,19.1541645573408,24.2212686387612
04-9U66,33,36,500,19.6789558650899,22.2055179210674
04-9U66,34,21,500,19.6586953415943,24.6337437695481
04-9U66,35,24,500,20.4213871204708,25.8449001920803
04-9U66,36,13,500,19.7237414078108,23.0581922332718
04-9U66,37,38,500,20.0855178223665,27.2034191740795
04-9U66,38,7,500,19.8847072897506,23.6095396894764
05-9U8B,1,27,500,25.1845010274491,31.0056562299876
05-9U8B,2,5,500,24.4167223491838,30.6362642472734
05-9U8B,3,22,500,25.6514517337162,31.5768850153545
05-9U8B,4,11,500,25.1969322400684,31.3579941702712
05-9U8B,5,6,500,24.4015633663783,34.5551796024181
05-9U8B,6,7,500,25.9789088734735,36.5626658372461
05-9U8B,7,19,500,25.2420753291572,27.926216525008
05-9U8B,8,24,500,25.2893768588184,38.5940616219524
05-9U8B,9,26,500,27.2817775414132,33.7737281646028
05-9U8B,10,2,500,26.5992818332424,31.2379526870606
05-9U8B,11,28,500,31.5209503732564,36.7490211007065
05-9U8B,12,15,500,24.4586514985828,27.6908071649813
05-9U8B,13,9,500,26.3757723767979,31.2798376221764
05-9U8B,14,4,500,21.7273941579455,26.4909864351133
05-9U8B,15,20,500,25.7223619985153,28.2585384442442
05-9U8B,16,21,500,22.8685508115253,28.674480422096
05-9U8B,17,12,500,20.8871680898308,31.5408095037299
05-9U8B,18,14,500,28.3791472801475,32.4955412016083
05-9U8B,19,13,500,25.4207246239678,33.9921348907612
05-9U8B,20,40,500,23.6288195507605,35.4335931237374
05-9U8B,21,8,500,25.371416647197,28.7874154167379
05-9U8B,22,29,500,23.5612621733246,28.6287840099169
05-9U8B,23,23,500,19.5992378180431,35.9740840687048
05-9U8B,24,30,500,25.3332454490625,30.4330580128256
05-9U8B,25,34,500,24.8454326882971,31.5516364882597
05-9U8B,26,37,500,24.426045713252,28.7973008658177
05-9U8B,27,25,500,25.581452116894,40.3816268377609
05-9U8B,28,33,500,24.6048410645982,35.3499549298225
05-9U8B,29,38,500,21.8436717951701,36.7985564507076
05-9U8B,30,1,500,19.1065570778756,22.90213241668
05-9U8B,31,39,500,20.2997655362391,25.1075350128199
05-9U8B,32,31,500,22.4071234660319,26.0467479793805
05-9U8B,33,17,500,22.8374157679657,26.4587340960144
05-9U8B,34,36,500,24.5874831770438,29.4617309443321
05-9U8B,35,10,500,20.6721203336649,27.1741073924248
05-9U8B,36,32,500,21.0473496714308,24.2471071715437
05-9U8B,37,18,500,16.3325110066454,21.7653508954702
05-9U8B,38,3,500,21.2465494098587,26.2578853955286
06-9UA7,1,6,500,20.9931875835463,23.9352038967893
06-9UA7,2,27,500,17.9989059870409,32.2528894277904
06-9UA7,3,9,500,22.8971595026936,29.6830988643314
06-9UA7,4,30,500,22.0472952205494,26.309864104391
06-9UA7,5,20,500,23.3037603119801,34.4710614776135
06-9UA7,6,34,500,22.7187060777615,28.5969521346
06-9UA7,7,7,500,21.9113237469921,27.0481256875223
06-9UA7,8,24,500,21.7614270895206,25.5257603894133
06-9UA7,9,5,500,21.603896048205,25.3534609360681
06-9UA7,10,15,500,22.8162184605486,27.3661529436967
06-9UA7,11,13,500,23.3659671782571,28.1859253774754
06-9UA7,12,37,500,21.0229939998704,27.0207522319142
06-9UA7,13,33,500,23.8159920594341,28.2141859987179
06-9UA7,14,36,500,23.2903197839696,28.9255042705228
06-9UA7,15,38,500,22.9753391807194,26.896168722842
06-9UA7,16,40,500,23.1124409449739,28.3851643440759
06-9UA7,17,39,500,24.0526415785952,31.6866616543311
06-9UA7,18,19,500,22.7124427872972,26.0423766194472
06-9UA7,19,18,500,23.1124409449739,27.2932513906589
06-9UA7,20,8,500,21.3907397980142,26.1557945416921
06-9UA7,21,10,500,22.7174527008434,26.60249180854
06-9UA7,22,32,500,24.0040750209769,27.6373062614491
06-9UA7,23,23,500,21.7810376368908,29.0080420549361
06-9UA7,24,21,500,22.5804765800294,26.8559255845217
06-9UA7,25,14,500,24.011188862208,27.6125785741884
06-9UA7,26,12,500,24.227130890622,28.9569749767116
06-9UA7,27,29,500,23.1849845934707,26.5660896213471
06-9UA7,28,22,500,23.6901739785803,30.9284498754021
06-9UA7,29,25,500,24.3057279406466,29.3281081807902
06-9UA7,30,1,500,24.1706848924121,36.061010567768
06-9UA7,31,2,500,23.4632143670117,26.5618037312456
06-9UA7,32,3,500,24.5666365067109,28.1657218587318
06-9UA7,33,28,500,24.3033866868161,30.3993703421947
06-9UA7,34,17,500,23.198484475153,39.9906631974999
06-9UA7,35,11,500,23.5914487005021,37.2475234403857
06-9UA7,36,26,500,23.4195031035404,28.6824201925436
06-9UA7,37,31,500,22.6597463161444,26.2166624969406
06-9UA7,38,4,500,25.8823143799126,30.2999613684192
07-9UAD,1,22,500,22.6006354740974,27.8302463529184
07-9UAD,2,15,500,21.0013208015375,27.0880832871991
07-9UAD,3,23,500,22.0111175898323,29.7577975374227
07-9UAD,4,5,500,20.929368691168,23.9827227124699
07-9UAD,5,26,500,21.0986753882359,24.7029722257719
07-9UAD,6,1,500,21.8970298734944,29.1665624732573
07-9UAD,7,29,500,22.024037194725,29.8571050571939
07-9UAD,8,31,500,21.887929480434,49.8441381386594
07-9UAD,9,37,500,27.3505451449856,43.9743664155346
07-9UAD,10,4,500,21.6302381165659,25.1120691049585
07-9UAD,11,25,500,21.7287042999324,28.2706224894594
07-9UAD,12,7,500,22.2439380165607,26.741219691163
07-9UAD,13,27,500,21.6998672534733,32.0208448668979
07-9UAD,14,12,500,20.9986106038538,24.4038965464158
07-9UAD,15,30,500,21.0608689499355,26.1557945416922
07-9UAD,16,8,500,23.8315225726262,33.1819960190427
07-9UAD,17,9,500,21.1660190947779,24.4411900108411
07-9UAD,18,28,500,22.4629442910418,26.1905935519813
07-9UAD,19,24,500,23.0631286908375,41.7920476286016
07-9UAD,20,13,500,21.6696785204457,43.6508443535122
07-9UAD,21,10,500,22.5792110197181,26.836841982549
07-9UAD,22,6,500,22.00723890273,24.494699890726
07-9UAD,23,36,500,23.01494680404,27.0586465660904
07-9UAD,24,38,500,21.9580319975881,28.9550090596737
07-9UAD,25,40,500,21.7470353958908,27.1027896583922
07-9UAD,26,32,500,23.5249991596966,52.5515293491133
07-9UAD,27,33,500,22.0033582397803,37.7334076436191
07-9UAD,28,11,500,22.419821168681,29.6466390206958
07-9UAD,29,39,500,22.3855161030818,28.9255042705227
07-9UAD,30,17,500,21.1485300199368,25.8449001920803
07-9UAD,31,19,500,22.1246185180709,41.3042926269612
07-9UAD,32,2,500,20.2801303497545,23.9018845155616
