participantID,seq,exp,clipDurationSec,front_clip_motion_median,front_clip_motion_n,front_clip_motion_frac,e4_eda_mean,e4_eda_std,e4_eda_n,e4_hr_mean,e4_hr_std,e4_hr_n,e4_skt_mean,e4_skt_std,e4_skt_n,e4_bvp_std,e4_bvp_n,e4_ibi_mean,e4_ibi_sdnn,e4_ibi_rmssd,e4_ibi_n,bh3_rr_mean,bh3_rr_sdnn,bh3_rr_rmssd,bh3_rr_n,bh3_hr_mean,bh3_hr_std,bh3_hr_n,bh3_br_mean,bh3_br_std,bh3_br_n,bh3_bb_mean,bh3_bb_std,bh3_bb_n,bh3_rsp_std,bh3_rsp_n,bh3_hr_conf_mean,bh3_hr_conf_std,bh3_hr_conf_n,valence
02-9TZO,21,13,64.0389997959137,11.1186666061497,5724,0.997386304234187,2.2859179688716,0.238111521670238,257,73.5544615384616,2.05257158124969,65,32.0073151750973,0.0202568922315198,257,97.8989956793876,4104,0.8890625,0.0546451498581278,0.0398888879717233,30,888.666666666667,115.021859526849,143.382282284944,72,68.1875,4.73378602798333,64,20.09375,2.65902924164751,64,4057.5,1237.19844810766,16,2972.32399344816,1601,99.234375,1.55064950549403,64,6.4
02-9TZO,22,17,61.9700000286102,12.6279911503322,5598,0.996972395369546,2.73381265461847,0.113335975767496,249,69.0542857142857,2.99587496739709,63,32.0479919678714,0.0175742645346669,249,57.1797533799526,3971,0.96391369047619,0.0528449504367064,0.0681951697246989,42,947.784615384615,52.9417404758796,50.6404297473866,65,63.4032258064516,2.70675946486469,62,16.1451612903226,1.64811640319396,62,2836.19047619048,896.830397513801,21,2343.34158710441,1549,100,0,62,6.7
02-9TZO,23,34,66.7939999103546,10.7067900668386,5859,0.986197609829995,2.96478568539326,0.129014744978775,267,72.4625373134328,4.10439503654447,67,32.1084269662921,0.0125864418405526,267,83.1382021604456,4280,0.907894736842105,0.0481308889571397,0.0397813324121018,57,905.351351351351,43.0388268263343,35.0819002624914,74,66.6119402985075,2.67397799157211,67,19.4776119402985,1.9176864924934,67,3492,1139.68416677604,20,2769.27284426455,1669,100,0,67,2.8
02-9TZO,24,9,64.436999797821,10.2141464571856,5752,1,3.44996119767442,0.160333760672289,258,67.0847692307692,1.47736791678257,65,32.1563565891473,0.0177723601473739,258,55.1306207279077,4129,0.8994140625,0.0524448022140028,0.0420370443209093,64,894.277777777778,45.2825938085975,29.7084423909396,72,67.484375,3.42721223885518,64,17.5625,0.870595490418201,64,2714.78260869565,1095.13332341201,23,1059.5372822107,1611,100,0,64,6.2
02-9TZO,25,27,63.7749998569489,10.5054098590134,5722,1,3.18605315294118,0.127809485101558,255,74.36140625,3.21663773349312,64,32.160431372549,0.0157555825651405,255,50.7421958851331,4087,0.904879385964912,0.0323846335373487,0.0310400312169049,57,900.845070422535,33.4192621476742,26.8689943455809,71,66.84375,2.21981516462055,64,22.53125,4.46492058977714,64,3275.78947368421,627.360571401891,19,2070.35776495655,1594,100,0,64,6.3
02-9TZO,26,31,63.8760001659393,11.5277881221811,5735,1,3.43850367578125,0.11906285059861,256,75.36421875,2.7293692536587,64,32.180234375,0.0193812055210975,256,54.1241281138937,4093,0.909801136363636,0.0469190244285813,0.0506588137146612,44,907.185714285714,42.020799838266,38.5402105091158,70,66.5,2.16758222414115,64,16.03125,0.665922203378428,64,3020,1381.65423353769,20,5059.01777289856,1597,100,0,64,2.9
02-9TZO,27,32,63.9280002117157,10.7337615166662,5756,1,3.6162571796875,0.179882375624868,256,76.9159375,3.78059654264429,64,32.21828125,0.0214424674831207,256,36.4782409200756,4097,0.871961805555556,0.0548610105162407,0.0415886520232704,72,877.767123287671,38.9642002883363,27.266941726404,73,69.015625,3.76488448145891,64,20.4375,2.54405625374562,64,3475.55555555556,1011.08108840007,18,2258.05399342077,1599,100,0,64,4.4
02-9TZO,28,37,63.8710000514984,10.2781026260537,5712,1,3.6856636953125,0.10021794577162,256,75.425625,2.38613180692098,64,32.30109375,0.0275035648313332,256,43.4818382559628,4093,0.8828125,0.0405352335472507,0.0375578257860832,64,885.736111111111,37.6065596074489,28.4513422045329,72,68.1269841269841,2.43291981419952,63,18.3650793650794,1.79875931526281,63,3078,1039.9574890097,20,1068.40761709775,1596,100,0,63,2.4
02-9TZO,29,20,63.9290001392365,9.52826735497481,5595,0.984342012667136,3.6900984375,0.156736540912387,256,80.70875,10.4664839990126,64,32.340078125,0.0172636348500328,256,54.7869909848717,4097,0.936141304347826,0.0567518208756804,0.0902711001803887,46,939.352941176471,43.5296312549339,40.2239996675335,68,64.296875,2.8656680846582,64,16.734375,0.541666666666667,64,3088,1131.56435731108,20,3482.10865560584,1598,100,0,64,7.3
02-9TZO,30,23,65.0889999866486,11.5532141258936,5868,1,3.17905727969349,0.127937971427512,261,79.7953846153846,3.5828546042764,65,32.3269348659003,0.0137208281764373,261,60.7677195045607,4171,0.922719594594595,0.0574035302265459,0.0478061451840777,37,885.958904109589,69.4060993069382,37.9601399131012,73,68.1230769230769,4.86861021079069,65,19.2923076923077,1.7113872016134,65,3134,915.115178255548,20,2668.95054986088,1627,100,0,65,3.2
