participantID,seq,exp,clipDynamicMedian,preDynamicMedian,clipMinusPre,clipOverPre,logClipOverPre,clipSelectedFrac,preSelectedFrac,valence,dominance,arousal,liking,familiarity
17-9UTL,6,32,22.7950019196777,21.9450676042852,0.849934315392435,1.03873008416827,0.0379988941211911,1,1,1,4.8,2.9,1,1
17-9UTL,7,13,22.954270245634,23.4729169269187,-0.518646681284643,0.977904463987181,-0.0223432988035005,0.993425172197871,1,6.1,9,4.1,5,1
17-9UTL,8,14,23.8709034467848,25.6236970464235,-1.75279359963879,0.931594820354644,-0.0708573009330455,0.972737186477645,1,8,6.6,7.1,9,5
17-9UTL,9,23,23.9589750853839,18.1955006581475,5.76347442723644,1.31675272560614,0.275168649328819,0.933333333333333,1,2.7,6.7,3.2,1,3
17-9UTL,10,34,24.0715676298721,23.8482272018388,0.223340428033314,1.00936507465075,0.00932149421719664,0.992494746322426,1,5,9,1,1,1
17-9UTL,11,19,24.2212686387613,22.3295041836974,1.89176445506391,1.08472039681226,0.0813222549918423,0.972651421508035,1,5,9,1,2.7,1
17-9UTL,12,3,23.6865693874125,24.066837512368,-0.380268124955453,0.984199497555089,-0.0159266610613744,0.962016070124178,1,7.1,6.6,6,7,2
17-9UTL,13,25,24.29050087387,22.4477323594566,1.84276851441335,1.08209152198115,0.0788957627816224,0.969539262207256,1,7,9,3,6.7,1
17-9UTL,14,26,23.5274193026133,23.0421396907045,0.485279611908872,1.02106052729576,0.0208418197914742,0.934740573638414,1,4.9,9,1,3.1,1
17-9UTL,15,28,21.9061271801582,21.5841236483798,0.322003531778428,1.01491853628269,0.0148083494527493,0.969006663567333,1,3.1,6.6,1,1,1
17-9UTL,16,39,23.2524061421557,22.6873605596229,0.565045582532857,1.02490574348867,0.0246006507899822,0.852051835853132,1,3.1,6.6,1,1,1
17-9UTL,17,2,22.394417556514,26.207975369776,-3.81355781326204,0.854488652425247,-0.157252056297879,0.984253196133458,1,5,6.9,2.9,2.4,1
