participantID,seq,exp,baselineDynamicMedian,clipDynamicMedian,preDynamicMedian,walkDynamicMedian,walkRawMedian,clipMinusBaseline,clipOverBaseline,logClipOverBaseline,clipMinusPre,clipOverPre,logClipOverPre,baselineSelectedFrac,clipSelectedFrac,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
04-9U66,15,11,16.1679663920637,11.2549771125454,9.81007841676725,214.524234199364,1005.00447760197,-4.91298927951828,0.696128185797696,-0.36222146060916,1.44489869577819,1.1472871708455,0.137400173720437,1,1,1,0.835698924731183,9,1.5,8.7,9,1
04-9U66,16,28,14.7877665001233,10.9453902912345,10.914210397115,221.247865413502,1009.38941825804,-3.84237620888874,0.740165209610477,-0.300881861471511,0.0311798941194787,1.00285681629591,0.00285274335149529,1,1,1,0.872108249672632,2.3,3.7,3.6,6.6,1
04-9U66,17,5,19.6242547004726,11.8108123680178,10.3624510025644,217.109067922855,1010.27125035099,-7.81344233245473,0.601847690436541,-0.507750871604081,1.44836136545348,1.13977015332522,0.130826622188222,0.827814569536424,1,1,0.868035190615836,8.3,3.4,8.8,8.6,4
04-9U66,18,31,14.8265391057438,11.2160948780636,8.67404320632006,210.206987566741,1005.60503719846,-3.61044422768011,0.756487727720528,-0.279068968330086,2.54205167174358,1.29306421599231,0.257014762897019,1,1,1,0.836318200749688,3.7,3.1,7.6,2.2,1
04-9U66,19,9,18.3119780294969,10.2695437781707,9.30717623190647,219.556581657257,1011.68176814649,-8.04243425132624,0.560810184548524,-0.578372782676796,0.962367546264241,1.10340059350817,0.0983968597463585,1,1,1,0.847480708125284,8.8,3.1,7.4,8.5,3
05-9U8B,1,27,8.67931954741095,9.18376657871342,9.62199278206127,204.569039115664,1004.39086017347,0.504447031302471,1.05812057368633,0.0564942907294265,-0.438226203347853,0.954455775090077,-0.0466139699540951,1,1,1,0.867246147767681,5.3,8.9,5.2,6.9,1
05-9U8B,2,5,15.646896970183,10.325297318038,8.85601601217179,209.717980011344,997.050386975389,-5.32159965214501,0.659894248534649,-0.415675686292739,1.46928130586619,1.16590770656318,0.153499930904537,0.720524017467249,0.991007493755204,1,0.868164794007491,8,4.7,7,8.1,1
05-9U8B,3,22,13.3775918303052,9.20055408236862,8.53151022191655,221.404283439506,997.731169590528,-4.17703774793656,0.687758618971015,-0.374317347128005,0.669043860452071,1.07842033157663,0.0754973144631535,0.991266375545852,1,1,0.906081919735209,6.9,5.7,5.3,8.2,1
05-9U8B,4,11,17.4929005207099,10.2363442913373,9.22154340363358,210.785974257668,998.045336207524,-7.25655622937251,0.585171354471406,-0.535850561014767,1.01480088770376,1.11004675066691,0.104402132155254,0.779475982532751,1,1,0.888461538461538,6.9,7.7,5.3,5.2,1
05-9U8B,5,6,11.1510133189417,8.83233806486384,8.8805140231978,218.910487571124,1002.24049010205,-2.31867525407788,0.792065959589587,-0.233110608325405,-0.0481759583339603,0.994575093490296,-0.00543967475012138,0.612200435729848,1,1,0.85075729589952,6.1,7.8,6,7.7,1
