normalization,markerGroup,pairLabel,pooledDeltaFull,pooledDeltaMicro,pooledFlip,subjectMedianDeltaFull,subjectMedianDeltaMicro,subjectMedianFlip,pooledVsSubjectAgree,subjectFlipFraction,bootstrapFlipProbability,bootstrapQuadrantAgreeProbability,nSubjects
baseline-normalized,UPPER_LIMB_R,NEUTRAL-JOY,-2.27991083699547,-0.0110319234216725,0,-1.47079524569872,-0.190203279005441,0,1,0.259259259259259,0.2595,0.65,27
baseline-normalized,UPPER_LIMB_R,NEUTRAL-SAD,-3.23270383607608,0.110732163338808,1,-3.04186306210394,-0.233739316044846,0,0,0.333333333333333,0.29,0.2895,27
baseline-normalized,UPPER_LIMB_R,DISGUST-JOY,1.42966048029353,-0.215349858834567,1,0.800048553717792,-0.256891381836653,1,1,0.222222222222222,0.583,0.58,27
baseline-normalized,UPPER_LIMB_R,DISGUST-SAD,0.476867481212917,-0.0935857720740865,1,1.36194262284597,-0.179611237317457,1,1,0.296296296296296,0.581,0.5695,27
baseline-normalized,UPPER_LIMB_R,JOY-SAD,-0.952792999080613,0.12176408676048,1,-0.670169116836879,-0.0638241860206175,0,0,0.259259259259259,0.32,0.236,27
baseline-normalized,WRIST_L,NEUTRAL-DISGUST,-3.71587625731511,0.322179476643521,1,-2.26597226146808,-0.126817967618507,0,0,0.296296296296296,0.266,0.225,27
baseline-normalized,WRIST_L,NEUTRAL-JOY,-2.33273394652971,0.121633792080269,1,-2.44053592841412,-0.227344166910476,0,0,0.222222222222222,0.2,0.093,27
baseline-normalized,WRIST_L,NEUTRAL-SAD,-3.28467659889303,0.0156140477598927,1,-3.50838415875175,-0.298222274514885,0,0,0.296296296296296,0.0895,0.0895,27
baseline-normalized,WRIST_L,DISGUST-JOY,1.38314231078541,-0.200545684563252,1,1.60372480424329,0.0839022042848483,0,0,0.296296296296296,0.3385,0.173,27
baseline-normalized,WRIST_L,DISGUST-SAD,0.43119965842209,-0.306565428883629,1,2.82725508318641,-0.119666081090529,1,1,0.296296296296296,0.529,0.52,27
baseline-normalized,WRIST_L,JOY-SAD,-0.95194265236332,-0.106019744320377,0,-0.332956988373589,-0.100583479356235,0,1,0.37037037037037,0.386,0.5055,27
baseline-normalized,WRIST_R,NEUTRAL-DISGUST,-4.18801984959544,0.21112630286423,1,-3.91382240338049,-0.256369075426722,0,0,0.185185185185185,0.248,0.242,27
baseline-normalized,WRIST_R,NEUTRAL-JOY,-2.42974060791771,-0.0572325480534732,0,-1.79919144429707,-0.142486355124884,0,1,0.259259259259259,0.255,0.6515,27
baseline-normalized,WRIST_R,NEUTRAL-SAD,-3.81029685224615,0.107010543024103,1,-3.76541660046957,-0.254954385964253,0,0,0.296296296296296,0.036,0.0335,27
baseline-normalized,WRIST_R,DISGUST-JOY,1.75827924167773,-0.268358850917703,1,1.77677334823152,-0.205765142072976,1,1,0.259259259259259,0.5085,0.476,27
baseline-normalized,WRIST_R,DISGUST-SAD,0.377722997349295,-0.104115759840127,1,2.54518331260917,-0.182387219659788,1,1,0.296296296296296,0.4175,0.3585,27
baseline-normalized,WRIST_R,JOY-SAD,-1.38055624432844,0.164243091077577,1,-0.792747120379559,-0.0577621297891047,0,0,0.222222222222222,0.3085,0.1585,27
baseline-normalized,LTORSO,NEUTRAL-DISGUST,-3.63160001993618,0.327717548457446,1,-2.33473984178993,0.199354133794361,1,1,0.259259259259259,0.788,0.788,27
baseline-normalized,LTORSO,NEUTRAL-JOY,-2.34732794654032,0.136321031684678,1,-1.83253616225641,-0.1125273875379,0,0,0.222222222222222,0.238,0.212,27
baseline-normalized,LTORSO,NEUTRAL-SAD,-2.69928172170383,0.135942880065488,1,-2.28586412024358,-0.258556861598069,0,0,0.296296296296296,0.0965,0.084,27
baseline-normalized,LTORSO,DISGUST-JOY,1.28427207339586,-0.191396516772768,1,0.842324610525131,-0.213309535872436,1,1,0.111111111111111,0.4165,0.4165,27
baseline-normalized,LTORSO,DISGUST-SAD,0.932318298232349,-0.191774668391958,1,1.70664903879856,-0.344762961749689,1,1,0.296296296296296,0.891,0.891,27
baseline-normalized,LTORSO,JOY-SAD,-0.351953775163512,-0.000378151619190081,0,-0.72256232958114,-0.146029474060169,0,1,0.296296296296296,0.3045,0.574,27
